$DATA1 SOURCE='PrimeSim HSPICE' VERSION='R-2020.12-SP2 linux64' PARAM_COUNT=1
.TITLE '**testbench**'
 size             rising_delay     temper           alter#          
  2.500e-07        1.718e-10         25.0000        1               
  2.600e-07        1.694e-10         25.0000        1               
  2.700e-07        1.485e-10         25.0000        1               
  2.800e-07        1.455e-10         25.0000        1               
  2.900e-07        1.608e-10         25.0000        1               
  3.000e-07        1.564e-10         25.0000        1               
  3.100e-07        1.536e-10         25.0000        1               
  3.200e-07        1.523e-10         25.0000        1               
  3.300e-07        1.496e-10         25.0000        1               
  3.400e-07        1.511e-10         25.0000        1               
  3.500e-07        1.324e-10         25.0000        1               
  3.600e-07        1.310e-10         25.0000        1               
  3.700e-07        1.297e-10         25.0000        1               
  3.800e-07        1.284e-10         25.0000        1               
  3.900e-07        1.271e-10         25.0000        1               
  4.000e-07        1.259e-10         25.0000        1               
  4.100e-07        1.418e-10         25.0000        1               
  4.200e-07        1.374e-10         25.0000        1               
  4.300e-07        1.234e-10         25.0000        1               
  4.400e-07        1.386e-10         25.0000        1               
  4.500e-07        1.377e-10         25.0000        1               
  4.600e-07        1.334e-10         25.0000        1               
  4.700e-07        1.360e-10         25.0000        1               
  4.800e-07        1.352e-10         25.0000        1               
  4.900e-07        1.343e-10         25.0000        1               
  5.000e-07        1.337e-10         25.0000        1               
  5.100e-07        1.166e-10         25.0000        1               
  5.200e-07        1.160e-10         25.0000        1               
  5.300e-07        1.154e-10         25.0000        1               
  5.400e-07        1.149e-10         25.0000        1               
  5.500e-07        1.307e-10         25.0000        1               
  5.600e-07        1.142e-10         25.0000        1               
  5.700e-07        1.135e-10         25.0000        1               
  5.800e-07        1.275e-10         25.0000        1               
  5.900e-07        1.274e-10         25.0000        1               
  6.000e-07        1.124e-10         25.0000        1               
  6.100e-07        1.125e-10         25.0000        1               
  6.200e-07        1.119e-10         25.0000        1               
  6.300e-07        1.115e-10         25.0000        1               
  6.400e-07        1.113e-10         25.0000        1               
  6.500e-07        1.110e-10         25.0000        1               
  6.600e-07        1.106e-10         25.0000        1               
  6.700e-07        1.103e-10         25.0000        1               
  6.800e-07        1.231e-10         25.0000        1               
  6.900e-07        1.098e-10         25.0000        1               
  7.000e-07        1.100e-10         25.0000        1               
  7.100e-07        1.097e-10         25.0000        1               
  7.200e-07        1.095e-10         25.0000        1               
  7.300e-07        1.093e-10         25.0000        1               
  7.400e-07        1.090e-10         25.0000        1               
  7.500e-07        1.090e-10         25.0000        1               
  7.600e-07        1.086e-10         25.0000        1               
  7.700e-07        1.084e-10         25.0000        1               
  7.800e-07        1.083e-10         25.0000        1               
  7.900e-07        1.083e-10         25.0000        1               
  8.000e-07        1.083e-10         25.0000        1               
  8.100e-07        1.079e-10         25.0000        1               
  8.200e-07        1.078e-10         25.0000        1               
  8.300e-07        1.206e-10         25.0000        1               
  8.400e-07        1.220e-10         25.0000        1               
  8.500e-07        1.076e-10         25.0000        1               
  8.600e-07        1.075e-10         25.0000        1               
  8.700e-07        1.074e-10         25.0000        1               
  8.800e-07        1.074e-10         25.0000        1               
  8.900e-07        1.074e-10         25.0000        1               
  9.000e-07        1.075e-10         25.0000        1               
  9.100e-07        1.073e-10         25.0000        1               
